ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
COL,Colombia,America,Northern Hemisphere,High,LAC,88,41.808695,40.37189,39.490976,39.510891,39.274136,37.2729,36.781456,35.52712,36.445861,37.712196,37.712196,37.712196
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,,,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,SSA,128,28.04,28.04,28.04,,,,,,,,,
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,33.397656,34.333636,34.284901,35.154184,34.245561,33.923669,34.221197,33.598361,33.466884,33.41354,33.41354,33.41354
CUB,Cuba,America,Northern Hemisphere,High,LAC,83,,,,,,,,,,,,
CYP,Cyprus,Asia,Northern Hemisphere,Very High,,29,13.60216,14.88187,14.97115,15.90818,17.50429,17.50429,16.40136,14.28251,13.09041,13.09041,13.03255,13.03255
CZE,Czechia,Europe,Northern Hemisphere,Very High,,32,10.69114,11.31482,10.97887,11.07131,10.73835,10.73835,10.43108,9.20949,8.71736,8.71736,8.7672,8.7672
DEU,Germany,Europe,Northern Hemisphere,Very High,,9,14.54559,14.81088,14.0549,14.75045,17.46195,17.46195,15.73535,15.73535,15.73535,12.46003,12.46003,12.46003
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,21.70879,21.70879,30.03165892,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175
DMA,Dominica,America,Northern Hemisphere,High,LAC,102,,,,,,,,,,,,
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6,10.95581,13.32469,14.3998,12.79628,13.46361,12.26297,11.48358,11.39151,10.88624,10.88624,10.05068,10.05068
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,31.930338,32.487814,30.647516,32.167729,28.640709,29.785432,30.369914,26.093622,27.802282,25.628189,25.628189,25.628189
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91,,,,11.36364,11.36364,11.36364,11.36364,11.36364,11.36364,11.5052,11.5052,11.5052
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,34.619918,31.638398,31.894203,32.026526,29.851789,31.322467,30.297652,29.896735,30.623973,31.050541,31.050541,31.050541
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97,,,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503
ERI,Eritrea,Africa,Northern Hemisphere,Low,SSA,176,,,,,,,,,,,,
ESP,Spain,Europe,Northern Hemisphere,Very High,,27,19.74687,22.14397,23.90812,21.26914,22.84977,22.54773,22.14727,21.86766,19.10714,19.10714,19.31195,19.31195
EST,Estonia,Europe,Northern Hemisphere,Very High,,31,17.71542,17.37153,18.59338,18.62724,20.99342,20.99342,18.73339,15.46027,14.34588,14.34588,14.98963,14.98963
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,9.05791,9.49739,9.49739,9.49739,9.49739,9.49739,13.3515,13.3515,13.3515,12.07582,12.07582,12.07582
FIN,Finland,Europe,Northern Hemisphere,Very High,,11,11.30984,10.77941,10.77818,10.56616,10.38763,10.01719,10.50979,10.43909,10.33787,10.33787,10.48338,10.48338
FJI,Fiji,Oceania,Southern Hemisphere,High,EAP,99,22.6,22.6,22.6,22.6,,,,,,,,
FRA,France,Europe,Northern Hemisphere,Very High,,28,13.25456,14.17367,13.94993,13.46136,13.65268,13.65268,13.58492,14.3716,13.36567,13.36567,13.91798,13.91798
FSM,Micronesia,Oceania,Northern Hemisphere,Medium,EAP,134,,,,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112,,,20.4113,20.4113,20.4113,20.4113,20.4113,21.2138981,21.2138981,21.2138981,21.2138981,21.2138981
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18,16.92925,18.76843,17.81109,16.20068,16.32592,16.32592,17.09783,16.74895,17.96959,17.96959,17.96959,17.96959
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63,32.13,32.13,32.13,25.95,25.95,25.95,24.85,24.85,24.85,24.85,24.85,24.85
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133,27.22482,22.40757,22.40757,22.40757,25.31453,25.31453,25.31453,24.14249,24.14249,24.14249,24.14249,24.14249
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182,,,17.05626,17.05626,17.05626,17.05626,17.05626,17.05626,17.83777,17.83777,17.83777,17.83777
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174,26.928,26.928,26.928,27.076,27.076,27.076,27.076,27.076,17.46726,17.46726,17.46726,17.46726
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,37.9,37.9,37.9,37.9
GNQ,Equatorial Guinea,Africa,Northern Hemisphere,Medium,SSA,145,,,,,,,,,,,,
GRC,Greece,Europe,Northern Hemisphere,Very High,,33,18.07374,18.07374,20.64323,21.08044,20.69059,20.80284,21.03849,19.47699,17.44667,17.44667,16.63777,16.63777
GRD,Grenada,America,Northern Hemisphere,High,LAC,68,,,,,,,,,,,,
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,39.18,44.16,44.16,44.16,29.56,29.56,29.56,29.56,29.56,29.56,29.56,29.56
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,24.44892,24.44892,24.44892,24.44892,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,,4,,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,40.712028,40.756529,41.696769,36.962278,36.258039,35.659413,37.548218,36.45059,36.194995,34.911526,34.911526,34.911526
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40,,17.56036,17.24145,17.60962,17.36734,17.36734,16.8815,15.18866,14.37065,14.37065,12.9537,12.9537
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,47.863,47.863,48.39911,48.39911,48.39911,48.39911,50.43867,50.43867,50.43867,50.43867,50.43867,50.43867
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46,12.21144,13.11032,12.61731,14.48154,14.58424,15.2567,14.73987,16.05152,13.93919,13.93919,12.29405,12.29405
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114,,,17.2563,17.2563,17.2563,17.2563,17.2563,20.11727,20.11727,20.11727,20.11727,20.11727
IND,India,Asia,Northern Hemisphere,Medium,SA,132,19.16,19.16,19.16,19.16,19.16,19.369,19.369,19.369,19.369,19.369,19.369,19.369
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8,13.79216,13.79216,13.79216,16.32331,18.11922,18.11922,18.11922,14.70554,14.70554,14.70554,12.26296,12.26296
IRN,Iran,Asia,Northern Hemisphere,High,SA,76,,,,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121,,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,12.67895,12.67895,12.67895,12.67895
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3,13.23446,11.61685,12.21693,11.14863,10.17085,11.67254,9.80916,9.80916,9.51407,9.51407,9.51407,9.51407
ISR,Israel,Asia,Northern Hemisphere,Very High,,22,24.997,24.997,24.546,24.546,22.984,22.984,23.689,23.689,23.134,23.134,23.134,23.134
ITA,Italy,Europe,Northern Hemisphere,Very High,,30,18.08855,19.82056,19.84636,20.5853,21.26166,21.26166,21.26166,21.34472,21.17692,20.87235,20.87235,20.87235
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110,,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,21.07619,21.07619,20.49108,20.49108,20.49108,20.49108,20.49108,17.91185,17.91185,17.91185,17.91185,17.91185
JPN,Japan,Asia,Northern Hemisphere,Very High,,19,14.557639,14.557639,14.557639,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,17.325,12.65731,12.65731,12.65731,12.65731,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,35.96532,35.96532,35.96532,35.96532,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,24.05403,24.05403,17.73515,17.73515,12.17395,12.17395,12.17395,12.17395,13.83059,13.83059,13.83059,13.83059
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146,20.28995,20.28995,20.28995,20.28995,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,EAP,136,,,,,,,,,19.35687,19.35687,19.35687,19.35687
KNA,Saint Kitts and Nevis,America,Northern Hemisphere,High,LAC,75,,,,,,,,,,,,
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19,17.25,17.25,16.69,16.69,16.05,16.05,16.13,16.13,16.13,16.13,16.13,16.13
KWT,Kuwait,Asia,Northern Hemisphere,Very High,AS,50,,,,,,,,,,,,
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140,20.56506,20.56506,20.3255,20.3255,20.3255,20.3255,20.3255,20.58334,20.58334,20.58334,20.58334,20.58334
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112,29.985,,,,,,,,,,,
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178,19.004,19.004,19.004,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,19.74577,19.74577
LBY,Libya,Africa,Northern Hemisphere,High,AS,104,,,,,,,,,,,,
LCA,Saint Lucia,America,Northern Hemisphere,High,LAC,106,,,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586
LIE,Liechtenstein,Europe,Northern Hemisphere,Very High,,16,,,,,,,,,,,,
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73,,,,,,,22.36351,22.36351,22.36351,22.36351,22.36351,22.36351
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168,47.03917,47.03917,47.03917,47.03917,41.1,41.1,41.1,41.1,29.57664,29.57664,29.57664,29.57664
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35,20.10029,18.5545,17.48654,19.6098,19.72888,19.72888,23.66926,21.80475,20.12206,20.12206,17.05362,17.05362
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17,11.55033,13.12387,13.8947,15.0531,14.95153,14.95153,14.95153,16.64219,18.68508,18.68508,16.6522,16.6522
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39,20.93875,19.80556,20.52043,20.20879,20.38932,20.29483,20.29483,18.5306,19.33165,19.33165,17.45024,17.45024
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123,23,,,,,,,22.50352,22.50352,22.50352,22.50352,22.50352
MCO,Monaco,Europe,Northern Hemisphere,,,,,,,,,,,,,,,
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80,14.80348749,13.56489292,12.31469122,11.79960639,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173,36.07534,36.07534,36.07534,20.43828,20.43828,20.43828,20.43828,20.43828,27.557,27.557,27.557,27.557
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90,23.15146,23.15146,23.15146,23.15146,23.15146,23.15146,25.8459,25.8459,25.8459,25.8459,25.8459,25.8459
MEX,Mexico,America,Northern Hemisphere,High,LAC,86,32.397166,32.397166,33.945796,33.945796,33.733936,33.733936,30.804773,30.804773,29.798888,29.798888,29.798888,29.798888
MHL,Marshall Islands,Oceania,Northern Hemisphere,Medium,EAP,131,,,,,,,,,,,,
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78,,30.06879,30.06879,30.06879,30.06879,30.06879,30.06879,,19.15726,19.15726,19.15726,19.15726
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186,,,,16.09936,16.09936,15.36232,15.36232,15.36232,16.56372,16.56372,16.56372,16.56372
MLT,Malta,Europe,Northern Hemisphere,Very High,,23,13.61069,14.07223,13.33752,13.61073,12.92401,12.92401,12.92401,12.4718,12.58503,12.58503,13.85802,13.85802
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,,,,,,
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49,12.555,,,13.61438,13.61438,13.61438,13.61438,13.61438,16.92405,16.92405,16.92405,16.92405
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96,19.67087,,,,15.7,15.7,15.7,15.7,16.94628,16.94628,16.94628,16.94628
MOZ,Mozambique,Africa,Southern Hemisphere,Low,SSA,185,37.01801,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158,23.78016,24.61075,24.61075,24.61075,24.61075,24.61075,24.61075,,,,17.33987,17.33987
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63,,,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169,23.11335,23.11335,27.68067,27.68067,32.50092,32.50092,32.4,32.4,32.4,32.4,31.27695,31.27695
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62,,,,,,,,,,,,
NAM,Namibia,Africa,Southern Hemisphere,Medium,SSA,139,68.337,68.337,68.337,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189,21.1,14.0452243,14.0452243,14.0452243,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163,34.49214,25.2387,25.2387,28.39144,28.39144,28.5,28.5,28.15838,28.05169,28.05169,28.05169,28.05169
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126,28.280595,28.280595,28.280595,28.280595,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10,12.31432,11.84238,11.58106,11.92161,13.21864,12.65944,12.91624,12.06279,11.79038,11.79038,11.89275,11.89275
NOR,Norway,Europe,Northern Hemisphere,Very High,,2,12.80549,10.66178,10.22623,10.35374,11.10429,10.98418,11.83017,12.73364,11.53728,11.53728,11.43144,11.43144
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143,,15.12801,15.12801,15.12801,13.91179,13.91179,16.31632,16.31632,16.31632,16.31632,16.31632,16.31632
NRU,Nauru,Oceania,Southern Hemisphere,,EAP,,,,,,,,,,,,,
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13,,17.89395295,17.89395295,15.5550993,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836
OMN,Oman,Asia,Northern Hemisphere,Very High,AS,54,,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161,11.135,11.135,11.135,11.5844,11.5844,11.5844,11.5844,17.23416,17.23416,17.23416,17.23416,17.23416
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61,38.877392,38.307814,39.443256,38.480642,37.867415,37.731409,37.586143,36.912765,36.116696,36.569706,36.569706,36.569706
PER,Peru,America,Southern Hemisphere,High,LAC,84,31.250345,30.39803,30.269547,29.46403,28.515106,28.662495,29.000943,28.568666,27.311426,26.300654,26.300654,26.300654
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116,29.98014,29.98014,29.98014,26.78594,26.78594,26.78594,26.78594,28.09546,28.09546,28.09546,28.09546,28.09546
PLW,Palau,Oceania,Northern Hemisphere,High,EAP,80,23.035,23.035,,,,,,,,,,
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,EAP,156,,,,,,,28.89932,28.89932,28.89932,28.89932,28.89932,28.89932
POL,Poland,Europe,Northern Hemisphere,Very High,,34,17.0568,17.89968,17.5211,17.2853,17.38732,17.38732,16.85896,14.38105,13.14542,13.14542,12.10742,12.10742
PRK,North Korea,Asia,Northern Hemisphere,,EAP,,,,,,,,,,,,,
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38,20.81879,19.91121,20.34969,20.3843,20.55516,20.29714,20.22231,18.05881,16.50867,16.50867,15.46189,15.46189
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105,37.744469,39.391454,33.496745,33.348347,36.867216,32.986751,33.109204,34.15507,31.289717,30.441064,30.441064,30.441064
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,106,,30.32,28.41,28.41,28.41,28.41,28.41,31.64,31.64,31.64,31.64,31.64
QAT,Qatar,Asia,Northern Hemisphere,Very High,AS,42,,,,,,,,,,,,
ROU,Romania,Europe,Northern Hemisphere,Very High,,53,22.24504,17.3499,17.13169,16.1572,18.66331,18.66331,19.01055,20.73769,22.52086,22.52086,20.89714,20.89714
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,,52,19.161,20.827,20.827,19.444,19.138,18.673,18.664,17.934,17.643,17.645,17.645,17.645
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165,30.24238,30.24238,30.24238,35.17475,35.17475,36.39382,36.39382,36.39382,36.39382,36.39382,27.19248,27.19248
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35,,,,,,,,,,,,
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172,21.21147,21.21147,21.21147,21.21147,33,33,33,33,33,33,33,33
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170,26.382,26.382,26.382,26.382,26.382,26.382,26.382,26.382,23.384,23.384,23.384,23.384
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12,23.25344363,24.56767753,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,EAP,155,26.315,,,,,,,,,,,
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181,17.69402,17.69402,17.69402,19.22054,19.22054,19.22054,19.22054,17.73822,17.73822,19.85569,19.85569,19.85569
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125,27.842098,26.295309,25.859547,27.609213,25.422641,24.293636,23.937419,21.811224,22.43198,22.481244,22.481244,22.481244
SMR,San Marino,Europe,Northern Hemisphere,Very High,,44,,,,,,,,,,,,
SOM,Somalia,Africa,Northern Hemisphere,,AS,,,,,,,,24.35,24.35,24.35,24.35,24.35,24.35
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63,,,,23.68371,24.3569,23.37078,23.18535,28.08094,23.65848,23.65848,18.49592,18.49592
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138,,,,,14.89161,14.89161,14.89161,14.89161,14.89161,26.209,26.209,26.209
SUR,Suriname,America,Northern Hemisphere,High,LAC,99,37.32015,37.32015,37.32015,37.32015,37.32015,37.32015,,,46.69631,46.69631,46.69631,46.69631
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45,11.32483,11.45688,11.30804,11.15959,13.24679,13.24679,12.31767,11.33007,11.33007,11.33007,9.06554,9.06554
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23,9.90261,10.61874,10.98858,11.33414,11.81318,11.17606,10.95858,9.13394,8.59101,8.59101,8.30524,8.30524
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7,11.2336,12.3895,13.06043,12.72093,13.78127,13.78127,13.53804,13.01092,12.58113,12.58113,12.77164,12.77164
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,37.55508,37.55508,37.55508,37.55508,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72,,,,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150,18.31698,18.31698,,,,,,,,,,
